"Data Source","World Bank","",""
"Last Updated Date","","",""
"","","",""
"","","",""
Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belgium,BEL,41640.0583572132,42246.076049685,42719.0486134245,42143.196061205,43369.2759444308,44310.6278688274,44808.524358035,46396.0021283993,47205.3098527353,48765.7668571996,50455.7338920672,50835.3969916061,51471.8532550932,51788.8439641973,53406.6918625201,54346.8934219286,55367.6227467907,56983.4612170062,56787.7366257414,55258.7071019666,56240.2030936239,56585.3025000677,56356.8251292135,56263.1752679668,57002.9092185204,57509.0245728702,57901.4976903148,58529.3302957534,59357.6896884394,60479.9769955466,57333.5424137922,60669.2137746531,62561.7810453236,63095.4017281289,63347.7858809235
Belize,BLZ,8251.61762539471,9028.07343837562,9967.77779283553,10366.8590598807,10146.3996755203,9967.84688088643,9782.64416029651,9862.26634546876,9894.59919785026,10460.6346102795,11363.6868781615,11567.0265720608,11828.1865744067,12589.2679378206,12807.1658774384,12714.9697390831,12912.5300233774,12973.2067214746,12415.6811300464,12033.9096816588,11913.6635959061,11641.7717375703,11843.4153404212,12064.797259406,12272.2957895446,12348.7944978311,12063.0600374093,11572.3007931461,11451.8979413877,11765.9748661176,10045.1404163746,11716.3267818656,12565.3645829576,12371.0086545348,12621.4081961897
Benin,BEN,2207.06796428357,2230.46054664537,2226.56666006625,2254.24565428893,2215.36616821938,2300.14122107459,2337.63030771279,2399.78593127356,2419.10014338548,2470.68504400549,2536.16885867097,2591.06485220288,2630.18061029627,2639.04370114641,2672.84404357157,2632.47251454328,2652.21841967159,2729.13741390352,2777.61974031765,2758.07243150648,2733.57399641151,2732.01249647957,2779.7264808532,2893.0467015352,2987.38236326153,2952.00218338705,2962.66381572265,3041.77929984989,3155.4510650627,3281.10470051465,3317.8597222557,3464.2886286745,3588.32519938147,3721.21254814808,3901.32588494392
Bermuda,BMU,79747.4825029841,76365.0430540655,75766.6971046445,77503.4644231796,77470.2976928947,80427.24062121,82122.7826140328,85380.8348326117,88034.8132385883,90290.5624913126,98019.93147275,104560.839783497,102559.769384967,105642.976098631,107803.199358077,109335.385931485,115170.899920201,118691.070025545,115942.72717347,108962.816946419,105968.875104213,101989.927295974,96711.0739703323,96549.7874807583,93042.2733051033,93859.8769494621,93265.0675364638,96437.191438851,95639.2267310584,95519.9206861686,88618.0830682257,92319.6714861219,98145.1689383889,103052.348367859,109311.936941299
Bhutan,BTN,3411.3837599176,3338.00941826599,3624.59781500136,3850.551287421,4042.49417769249,4379.87046667778,4616.91979198439,4778.70511731732,4965.87646031681,5241.36663790737,5287.57434721684,5545.6305511084,5991.25497571775,6323.5411950973,6517.99683290216,6850.80441609334,7140.85609148376,8195.07074477912,8470.03471622855,9019.11861272397,9985.28455483655,10714.686566371,11143.9445354588,11212.479426698,11744.5189124825,12400.2983237391,13320.9759036882,13482.3425280358,13854.8543977158,14555.1884045845,12979.9369485824,13458.812666743,14061.3120274588,14610.2959119536,
Bolivia,BOL,6247.10446615403,6440.4857162921,6414.32866802843,6556.81640305094,6731.2848743195,6914.34189540931,7083.61313107091,7301.50935715196,7534.51656215666,7435.72544462966,7492.43381815499,7491.15257767136,7550.01554439063,7625.90515937027,7811.59684101948,8020.63568776794,8263.31896895542,8493.94848397403,8865.27246783163,9011.55629962953,9230.39808115934,9554.44502529396,9884.46163420335,10391.38337536,10790.8472899414,11144.6415727207,11448.0218032246,11755.2556195885,11920.3135079645,11930.9159145918,10285.6590750222,11202.4409836707,11487.7148799194,11616.1575595159,11329.1518061536
Bosnia and Herzegovina,BIH,2413.94823987662,2183.53511432798,2150.91966830521,2281.89928050593,2657.81398743182,3090.39106761024,4569.00162207312,6020.98522398162,6899.325655059,7481.33501395434,7830.53433078343,7982.55195738094,8366.72625268201,8709.99283593466,9344.86891184204,9814.51034158831,10430.4552500579,11178.7278411828,11983.7696596485,11826.6991802051,12142.9120522116,12487.7008428301,12626.9786875839,13135.7719791089,13458.9083902112,14220.1489744552,14873.7027917131,15554.7232481788,16349.0675137661,17029.3678184559,16747.1048417525,18286.7373324233,19298.1971056448,19805.0002774731,20527.6935527158
Botswana,BWA,10520.9183978405,11001.8013588128,11008.6810214184,10902.9512774946,10989.6700551057,11457.6994362472,11832.9387782379,12526.352236393,12306.250477233,13207.447346512,13185.8171514278,12949.6403104655,13479.6960719923,13857.2588264737,13984.8415112641,14361.9576327759,15275.5828811117,15850.2343496231,16040.3153236098,13489.9509168296,14545.0198074427,15236.7188843522,14957.6189142932,16369.4252971454,17052.1924105361,15994.9643042101,16905.588740873,17352.8958451454,17825.018569213,18106.0105471124,16289.3913582645,17960.6254447437,18647.3734588832,18932.4802712334,18068.5050714283
Brazil,BRA,12633.2884559605,12546.5605004545,12271.9788476188,12669.4287208252,13202.9308013064,13550.4393737243,13641.6295997537,13896.6249901345,13737.7026434846,13602.4137069426,14005.347187072,14016.1313773564,14265.9048768518,14259.3664088286,14911.260960772,15221.0138281917,15657.4795714009,16440.5837398046,17113.3679822772,16939.4407809047,18062.158110224,18627.8104527933,18832.2195524356,19241.5059814525,19183.1727445223,18357.0690615421,17620.9272434403,17724.4799577815,17917.7492122925,18018.62091495,17327.5157248143,18075.7060048757,18554.0461828519,19079.8122132253,19652.3654991704
Brunei Darussalam,BRN,118163.68336994,118220.68359533,111457.220883519,107899.136339239,106239.232694338,105043.853097683,102522.125418121,106503.420270796,97171.6372551031,99083.3205282422,100323.439918528,99680.7626777537,101571.583784666,103226.914446986,101497.754798655,99795.6850854526,102248.510300567,96752.6204091885,91275.5000919182,87875.8283546044,88586.5133683924,90279.6634042123,89718.4636049982,86606.6518910199,83310.6151819533,81910.1882959493,78880.6228501768,78966.8643142346,78099.0507802561,80228.1598170527,80280.8980640677,78248.797127611,76357.829114996,76616.7014884981,79071.7333801445
Bulgaria,BGR,14954.9612986603,13828.2442168123,12961.0385307712,12871.4500732157,13150.0344422672,13591.4105639206,14372.8310870084,12419.4307242505,12976.3210459232,11953.6477251515,12563.8880988668,13306.5595739168,14397.0609177208,15271.5472882444,16389.0282419117,17678.1074943214,19024.6223691232,20440.3375318665,21846.0454072872,21251.30543262,21724.3762726863,22321.1253679157,22618.9040490702,22954.4918743089,23455.5804023134,24562.750842738,25636.8508634132,26691.8686963123,27691.0089237623,29150.0422926763,28521.3251326769,30959.1118459807,32433.7937497005,33073.8179631314,34221.5294617032
Burkina Faso,BFA,1107.85590454965,1178.07704639063,1152.04476095096,1162.64923453351,1148.60721370395,1183.52861008084,1280.69608533889,1326.94230829963,1385.09310679095,1444.56690170414,1428.57400617096,1477.28491846525,1494.67801269583,1561.83310184915,1581.25620933294,1664.99543180023,1714.76034904509,1731.93046335077,1779.32710911571,1779.32305627973,1873.97146230828,1939.86659989406,2003.6646118745,2057.0639319853,2083.19844698304,2101.70266192027,2162.72578977814,2232.28781490944,2316.39432079045,2391.53626844484,2380.93171826574,2486.43093147762,2469.19956941259,2486.20669812871,2547.67232852209
